Tweet		Sarcasm
@annnnabelllll yess!!! pls!!!		0
@RhysPierce_ anytime love :)		0
@mterry337 now why wld they do that? It's of no sensational value... Merely facts Meh		1
@A_McLandress @cara102 yeah Alberta elected a female once. That was a crazy couple of months never to be repeated again!		1
@ayyejayy96 ouch, that hurt so bad.		1
@IngleRick You Dare question the almighty Schefter??? The know-all, be - all		1
@washingtonpost @GlennKesslerWP Because gun control is working so well, right?		1
@lexxtacyyy Unless you wanna waste another 30 minutes of your life, stay away from that McDonald's lmaooo		0
@sallymcmanus Main the page, comrade.		0
@JohnNaughton A make up call?		1
@John_AllNatty @BioLayne yeah...it's probably better to just assume that's true		1
@camerondallas hope on your short break you can finally notice me bae❤️😭		0
@jamietoomeylive when we were playing I was thinkin that xD		0
@amit1h SMEs even. &lt; 500 strong orgs who cant hire an 'advertising agency'		0
@claudiawebbx I second that🙋		0
@HiddlestonedZ @KGullic @JabbasaurusRex @Debsloth1 Oh the suffering our significant others must endure. I'm sure they hate it.		1
@smittie61984 I forgot about those! Fredericks of Hollywood mags.		0
@theREALwikiman @everythingabili I wouldn't worry, if it's same folk who tried to introduce that system so we'd only have 1 record trail		0
@phillylovenotes What year did you graduate CHS?		0
@StevePenk I didn't think 'you've been framed' was on any of the @ITV channels anymore???		1
@TedOfficialPage agreed ! i do it all the time		1
@rfdsdoc @drmelclothier @docslc but you get latte in small / medium / large... so... I thought it had to do with the frothing method.		0
@MichelleGall20 isn't college so much fun?!		1
@Pyschodelicmonk oh .... Thanks for that		1
@PadresMikeDee are these more players that Preller has traded for?		1
@MattWeaverSBN @JacobBlackWORDS Because that would just make too much sense. NASCAR can't make sense or no one would watch.		1
@______bdj jai I'm out lol, ima call you when I get home so be up		0
@abner217 @MNWildKCCO Orly? Huh, I would've never guessed		1
@vz_duz_it definitely a good watch before bed I'm going to think about a few of those things b4 I crash. When you free tomorrow?		0
@shootersakurai Many times? The regret of what? /Silent awhile/ No need to tell me if you don't want.		0
@DPRFOZ @Ows_Casper Yes, with his big mean terrifying abdomen!		1
@RobbBryn @christoc Oh btw, Where is that forum again? Support? Connect? Participate? Learn? Oh I know... In Touch! Here somewhere		1
@awfulannouncing can't wait to hear what Barkley has to say at the half.		1
@PaperCutPrint @keirshiels Can you pen an email?		0
@LonoB @AmbientFlush indeed! Beautiful work sir!		0
@victoriaforall @SJP was fugly, and still is.		1
@Red__Tony @gregnffcwatson @Breastonred71 what!!!!!! You saying it's not our God given right to be in the top league. Shame on you		1
@dturkenk @jeffsussna @adrianco @mdirkse But, if you imagine an f500 with 1000 interconnected apps in cloud, you can see “op of sys” problem		0
@Evan_P_Grant he is stretching out the arm.		1
@DannyDepac I'm DVR impaired. Help.		0
@DavidLimbaugh the calls from Benghazi were NEVER returned		0
@maddddddie @kolby_tipler yeah man don't get mistaken wrestling is not the manliest sport ever ya know		1
@tylers417 best. If I wasn't so well informed by my brother, I probably would've died.		1
@rachel_is_here @ThatSashaJames that’s cause women don’t have anything interesting to say		1
@ChazzaaaaF @LauraMConaghan I'm working in an hour :((( If one was saved for me coming in at 10, that would be DELIGHTFUL.		0
@Merstham_Glass like the new web site, a very clear and easy to follow look, just need to check google search results, 2 site coming up		0
“@ShanPearl_: Another dead weekend in Mt P” same in Allendale 😭		0
@lydiakinkaid i bet no one can guess which is you		1
@EmFoosh well, why would you get a person with a Masters in Business to teach your business courses when you could have Bill Gates!?		1
@RandallMellGC @Bobatscoregolf DId somebody blame her back problems on Foley as well?		1
@swirsk054 Are the Bears playing tonight?		1
@IncrediblyRich you might get lucky. They might have one or two of those items over there!		1
@ejackson07 I hear you. You didn't know twitter makes you famous??		1
@LANow @BuzzFeedNews It's time to ban fishing from the pier.		0
@jerrycferrara yea becuz the fix would be for green bay?????		1
@SupermanHotMale WHAT?!!! No ANARCHY an RIOTING? Mexicans not going wild on our Merican streets?!		1
@KathrynRoslovic we're driving home from the mall.. Get to the toll road and she takes north rather than south.		0
@sarahluv81 Sorry to read all this Sarah. I'm going to drop you a DM so keep an eye out.		0
@Pour_Me_Up what the fuck? Lol English.		0
@thehill @JTSTheHill Gee I can't imagine criticizing or trying to scare people into just to get what "HE" wants.		1
@DailyCaller Before or after Laundering?		1
@looove_rose Lol iight , ima do it .		0
@Kissimmee13 yeah we can come out today between noon and next Saturday will you be home?! 😳🔫		0
@ansieh Actually trying to teach CU kids things is overrated		0
@mtsutphin I'm sorry. I could live with grandma and Stephen		1
@AdamWallenta sweet sometimes I love some fast rap Please just tell me you have a @JODYHiGHROLLER style joint too!		1
@MiaFarrow @cinnamonshelper Won't they be disappointed when they find out the majority of intelligent life disappeared in 2008.		1
@alnwickharriers @runnorth @davebartrum awesome runs for our counterparts up the A1! Top running.		0
@Kaitcable which 24 do you work at girl		0
@rossmitch1204 academy soccer coach is what I use Ross		0
@rachael_wask @devonnnrooks k see you both in 5		0
@FishWBA by the church?		1
@h0usep4rty @captainchaos98 @deansy_boy of course you are		1
@frackfreedenton @Earthworks Since the day ends in "Y".... But I am sure it was an 'honest' mistake.		1
@sarahtorre @Heritage It's unfortunate when majority populations are forced to allow minorities exercise their rights, isn't it?		1
@billieisstupid {Nods and walks downstairs, looks for you}		0
@j_louise22 We connect on spiritual level.		0
I got ya @MzBlaque_21		0
@StaxxFifth I'm gonna dm you my		0
-@FakeJohnDeasy @KarenLewisCTU @johnkuhntx @EdFocus If only corporal punishment was allowed, test refusers would learn and fast.		1
@JoeBuscaglia that pass straight up sucked		0
@TheBeast980 @WinterbleShow @georgewrighster Jeter's retiring? How could I not have known this?		1
@Lexiii__5 I didn't do it. It was Brianas doing. I just quoted the tweet.		0
@Mikey2082 And your point?		0
@AP I think you should be able to perform an abortion on a Ferris Wheel if you want.		1
@kevb9495 would be watching but my contempt for Neil Reynolds has reached new heights.		0
@ReggieLedan ok thanks for being a great caring person! 😅		1
@NintendoUK wow a scarf... Must buy it now		1
@DaveShedloski Good thing they did. The weather that day at Hoylake was just terrible.		1
@almostheavenly Really? It always seems flawless to me		1
