Tweet		Sarcasm
So glad I started Beauchamin tonight on my fantasy team.		1
the only bad thing about weed is getting caught with it		1
Yoko killing it on David Letterman tonight.		1
This paper is coming along		1
Ten years down the road I am definitely gonna have to predict the ratio of metal and non metal ions in magnesium and fluorine		1
Rudders is so good		1
When I look at text messages I forget about them because they're not important....		1
Im fucked up alittle. Somebody gonna get this work		1
And now I have to pee....... awesome! Cause I love getting outta bed 10, 000 time before I can finally go to sleep!		1
I love leaving campus at midnight on a school night.		1
Sometimes idiots just brighten my day ,		1
My life is so exciting.......		1
Crying myself to sleep was exactly what I wanted to do tonight.		1
Glad my dryer has ruined two of my camis now		1
I love waking up in the dark and coming home in the dark		1
It's not funny to be funny and it's funny to be not funny.... If you know what I mean!		1
got a lot of things going through my head tonight... 😕 thinking about EVERYTHING that's going on. weee.		1
Now I know where you get your manners from..		1
Boy ive missed these early morning starts...		1
hitting myself in the face with the remote felt awesome.		1
Sitting outside of my work trying to get a ride from a nice coworker is my fave thing to do.		1
you'd think after 4 years of college i would get a handle on my procrastination		1
Tea and soothers will get me through the day hopefully &lt;&lt;&lt;&lt;&lt;		1
I mean I work at 8 am tomorrow, so staying up till 2 is a fine idea..		1
This bio test tomorrow morning is looking better by the second		1
Lets see what excitement today brings		1
I love how much I randomly wake up in the middle of the night. 😳		1
As if gettin up at 7 &amp; going to school isnt bad enough but then to realise how I forgot my diluted orange on the bus makes it all better		1
Wow I really love not being able to sleep through the night		1
The morning after the night before. On reflection Bayern just about shaded it...		1
My hair is sooo nice and dry today		1
Ticking down the minutes 'til 1am so I can take my online IR test		1
There's a fucking cat outside my window in heat...		1
My TL is virtually dead from 12am to 3am. I must not follow enough students. Or y'all have gotten WEAK.		1
Im such a sweetheart. ♥		1
Broken car, 4 lessons, no lunch .. Today's looking good		1
Imagine living and working and drinking in Crosby		1
Am told the acts at my grad ball tomorrow are lydia lucy from xfactor and some guy from the voice. Great. Glad I paid £30 for that		1
Just another night I get to fall asleep alone.		1
Loves sleeping on the sofa		1
I have to call marriages abroad and see if I can get document rushed through this shall be very fun		1
Good to see Asians on Twitter being optimistic about Amir Khan..		1
Love a good chesty cough 👍		1
Can't sleep at all, tomorrow's going to be fun		1
Can't sleep. So bored. Nobody to talk to.		1
Nothing better than someone else music waking you up!		1
Love random phone calls....		1
Cause waking up and crying is definitely how I wanted to start my day		1
Buzzing bout the weather		1
The sitcom return of michael richards, hahaha that can only end well.		1
I just looove when people don't txt me back but they post on twitter, it really makes me feel like they want to talk to me!		1
Nice weather we're having		1
I love leaving for clinical when the sun is down and the stars are still out....		1
Wow nice update snapchat		1
We're all looking very sexy in our lab coats this morning...		1
My body is in the best condition ever for lab today *-_-*		1
tired plus i have toothache..my life gets better and better more than ever!		1
My teacher just told me that I'm never going to find a husband. My self confidence is through the roof...		1
Ha ha matt the plonker at work has come in wearing shell suit bottoms with a gaffer taped crotch!! Pmsl		1
Why did George W. Bush make the government shutdown?		1
Late at night. Dad is sleeping. And ate is rockin chris brown songs! Man!		1
Perfect whether this week		1
That 6 am alarm clock worked well		1
Another day another doller.. Oh no wait because all this overtime I'm doing I'll get taxed a fortune on.. Yey!		1
Love how everyone tells me things		1
Great start to my day		1
Great way to start off my morning 👌		1
That's always a good thing waking up to a message that says one of your family members died yesterday.		1
Well reversing the wrong way into on coming traffic was a bright idea		1
Nice to see chef in such a great mood today		1
So sleeping in hour increments was fun		1
damn i missed getting up this early ...		1
This is just going to be the best day ever.. 😄		1
I love gym class first period 💙		1
feel really loved right now guys		1
So pumped for necaps man		1
Okay mum. I'll learn how to play the devil went down to Georgia on the violin. Easy		1
Juicy velour sweat suits are still a thing.		1
Well can't drive the mustang until next week great.		1
This week just keeps getting better		1
I love waking up to some Physics in the morning...		1
Always a good start to the when your favorite cereal is all gone		1
Class is suppose to start in an hour but I have no clue where my class has been relocated to...just the way I want to start my day off		1
Today's starting out to be amazing		1
Perfect start to my morning....		1
Today I'm training local teachers on diversity and showing samples of microaggressions experienced in my real job		1
Having literature in the morning is one of the better decisions I've made.		1
Ah good to see the Scottish weather has returned to normal		1
That good morning text I got this morning&gt;&gt;&gt;		1
Spilled water all over my pants on my way to school. Great way to start off my day! 😒		1
Bout to do some last minute studying for these proctored midterms I have today!!		1
Great way to start a day.		1
Perfect day to wake up really sick		1
Thank you everyone on my twitter feed for reminding me that it's October 3rd I genuinely appreciate it		1
just loveee being on hold		1
Well that's a great way to start off my morning!		1
I look outside. Straight downpour.. this walk to school should be fun this morning.		1
Today I received something as a Fulbright in Turkey that many Americans in US don't have - health insurance.		1
Today is just AWESOME. 😒		1
Love being so replaceable..		1
Sad thing is men think just because you used to be intimate in the past it's easy to climb in the bed again		1
Working all weekend		1
Well this is going to be an eventful day		1
I love waking up at 8 for a lab that only takes 20 minutes		1
Oh yayyyyyy school 😫🔫		1
It's just been such a great morning...		1
Hey, it's October 3rd. Isn't that in a movie or something?		1
I just love burning my hand with a straightening iron.		1
Oh the rush to get to school on time! Fun fun fun.		1
I just love feeling like shit.		1
It must be said,"Pakistani politicos are blessed with some of the brightest brains in the world!"		1
How did David Clarkson do in his first two games for the Leafs?		1
12 hour day yayyyy		1
shoulders are sore....specialty lanes are gonna be a blast!		1
Best breakfast ever		1
Sitting with all my friends at breakfast		1
I love how she makes up crazy ass good prizes when they don't answer their phones..."A million dollars and a trip around the world".		1
Man i missed some major class time with that assembly		1
Totally the way I wanted to wake up		1
On my way to school. Fun shit...		1
Yay for stress and migraines!!		1
Caught whatever illness has been making its way around the office.		1
Havin a great time not at disclosure		1
The most tired I've been all semester... And it's time for exercise class.		1
Perfect way to start off my day.		1
Let's all root for Delmon Young because he's a great person		1
Getting to school at 7:30		1
I'm so glad my cold is worse today.		1
And so the rain begins. Today will be fun.		1
Hey, does anyone know what Banksy is up to these days?		1
Got a clean shot on a deer this morning and wasn't able to find it. Awesome. Just awesome.		1
11 hour day .... And I'm sicker than a dog.		1
Since the there can’t possibly be those wavy and wispy high-level clouds anymore, right?		1
UPS cuts power to all outlets for second when I add or remove something? Yay... Liebert UPS... Fantastic job.. 1		1
Presidents cup. So fancy.		1
What's today's date? No one on my feed has posted any kind of movie reference that would give me a clue.		1
Literally all we do in this math class is sit and play on our phones for 90 mins.		1
This day is just stupendous!		1
5ever scared to death every night thanks to syaf		1
Well today's off to a great start...		1
Also noted when seeing people's social media profiles: so many Muslim theologians mashallah! How wonderful! Everyones a theologian!		1
54 govs have shut down for over 50 years. A few days won't hurt U...much		1
I love how I'm always second best to everyone. How everyone would rather hang out with someone else than me. I feel really special.		1
I love it when my blinkers stop working.. such a comforting feeling.		1
"Weapons don't kill, communication does"		1
Jesus spanish really is a great way to end the day		1
Don't get on blackboard one day and I have thirty two notifications. Ggggrrrrreeeeaaaattttt		1
What's the point of having a lock down drill when none of the doors lock?		1
Of course my skirt flew up the moment I passed a giant line of school children waiting to enter Varsity Stadium.		1
Good thing my coach game me enough time to take a shower after workout so I don't smell in my class!		1
The post run ice bath really starts to bite you come the autumn.		1
Tomorrow is suppose to me 41 degrees with snow... isn't that awesome?		1
Woowwww you are SOOOO cool.		1
Ok I've got 523 interactions on Facebook in 2 hours...and ZERO on Twitter. Twitter is fun because it's about limited interaction.		1
What a way to start off my day		1
God Damn Obama. Taxing us rich folk so people in need have affordable healthcare and don't die in the streets. Makes me sick !		1
damn this is such a good song, let me play it 86 times an hour until I hate it!		1
Awh yeah walking home in the rain. Yeah love rain yeah 🙌💦☔️		1
I love how a criminal mastermind went to for his masters..		1
Day of fun at the District Attorney Office in Charlotte		1
Love being at the dentist , so much fun yaaaa		1
stuffing and licking envelopes is what every 18 year old girl wants to do with her spare time.		1
Morning sickness is going away!		1
Just having to listen to a monotone professor and a deaf person just makes Tuesday and Thursdays great!		1
Sunny and 75 in plymouth		1
You don't realize how original your twitter feed is until it's October 3rd...		1
Great! Microsoft brought back the advertisements to Outlook. I missed them so much!		1
I feel honored, I now have my own personal class attendance keeper!		1
I just love how i always get interrupted when talking to someone.		1
That makes me feel great about myself.		1
